Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE5P - Age in Five Year Groups, SEXP Sex, INGP Indigenous Status, HEAP Level of Highest Educational Attainment and LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA4 (UR)","AGE5P - Age in Five Year Groups","SEXP Sex","INGP Indigenous Status","HEAP Level of Highest Educational Attainment","LFSP Labour Force Status","Count",
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","50-54 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","55-59 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (ACT)","25-29 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (ACT)","25-29 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (ACT)","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (ACT)","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (ACT)","25-29 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",7
"Persons Aged 15 Years and Over Place of Work","No Usual Address (ACT)","25-29 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
